ID,Kanton,Ort,Unternehmen
CHE-100.362.082,ZG - Zug,Cham,Bäckerei-Konditorei-Confiserie von Rotz GmbH
CHE-257.993.292,ZG - Zug,Steinhausen,Bäckerei-Konditorei-Confiserie von Rotz GmbH
CHE-157.338.603,BE - Bern,Adelboden,Bäckerei-Konditorei-Confiserie-Café Haueter
CHE-356.575.515,AG - Aargau,Suhr,Bäckerei-Konditorei-Confiserie-Tea Room M. + A. Leiser
CHE-105.888.724,BE - Bern,Seedorf (BE),Bäckerei-Konditorei-Lebensmittel Hugo Gutjahr
CHE-105.806.583,SG - St. Gallen,Mosnang,Bäckerei-Konditorei-Restaurant Brändle z. Rössli
CHE-107.777.260,GR - Graubünden,Seewis im Prättigau,"Bäckerei-Lebensmittel, M. Fausch"
CHE-105.862.630,BE - Bern,Bremgarten bei Bern,Bäckerei-Restaurant 'Chutze' AG
CHE-105.804.561,SG - St. Gallen,Mörschwil,Bäckerei-Restaurant Füger GmbH
CHE-393.342.760,VS - Brig (Oberwallis),Simplon,Bäckerei-Tea-Room Arnold
