ID,Kanton,Ort,Unternehmen
CHE-152.889.089,ZH - Zürich,Marthalen,Bäckerei Konditorei Gut
CHE-107.965.011,TG - Thurgau,Arbon,Bäckerei Konditorei Hackebeil
CHE-105.811.029,SG - St. Gallen,Kaltbrunn,Bäckerei Konditorei Hess AG in Liquidation
CHE-107.278.867,LU - Luzern,Triengen,Bäckerei Konditorei Hunger AG
CHE-111.754.799,ZH - Zürich,Zürich,Bäckerei Konditorei Hürlimann AG
CHE-107.283.182,LU - Luzern,Luthern,Bäckerei Konditorei Lebensmittel Urs Kunz
CHE-350.873.629,BE - Bern,Unterseen,Bäckerei Konditorei Mohler Inhaber R. Abplanalp
CHE-271.876.828,LU - Luzern,Luzern,Bäckerei Konditorei Odermatt GmbH
CHE-112.017.433,SG - St. Gallen,Waldkirch,Bäckerei Konditorei P. Scheiwiller
CHE-449.372.864,BE - Bern,Röthenbach im Emmental,Bäckerei Konditorei Schenk
CHE-107.286.631,SG - St. Gallen,Sennwald,Bäckerei Konditorei Siegrist GmbH
CHE-204.892.391,BE - Bern,Langenthal,Bäckerei / Konditorei Ganz
CHE-346.380.826,AG - Aargau,Zofingen,Bäckerei / Konditorei Leutwyler GmbH
CHE-105.022.067,BE - Bern,Langnau im Emmental,Bäckerei / Konditorei Rüegger GmbH
CHE-105.756.488,VS - Brig (Oberwallis),Leuk,Bäckerei A. Mathieu-Zumstein AG
CHE-107.351.748,AR - Appenzell A. Rh.,Herisau,Bäckerei Abderhalden
CHE-107.254.772,SG - St. Gallen,Wattwil,Bäckerei Abderhalden AG Wattwil
CHE-100.206.039,FR - Fribourg,Murten,Bäckerei Aebersold GmbH
CHE-265.077.575,TG - Thurgau,Fischingen,Bäckerei Allenspach GmbH
CHE-198.680.660,BL - Basel-Landschaft,Münchenstein,Bäckerei alpascha GmbH
CHE-264.368.722,LU - Luzern,Büron,Bäckerei Amrein AG
CHE-240.641.011,SZ - Schwyz,Feusisberg,"Bäckerei ""gsund"" AG"
CHE-114.960.579,ZH - Zürich,Zürich,Bäckerei & Catering M Janicijevic
CHE-102.073.772,VS - Brig (Oberwallis),Zermatt,"Bäckerei & Konditorei, Biner & Co."
CHE-115.910.495,AG - Aargau,Wölflinswil,Bäckerei + Party-Service Sandra Bircher
CHE-112.034.070,LU - Luzern,Willisau,Bäckerei - Konditorei - Café Gut
CHE-107.195.164,SO - Solothurn,Erlinsbach (SO),Bäckerei - Konditorei - Lebensmittel Leuenberger
CHE-109.306.718,BE - Bern,Adelboden,Bäckerei - Konditorei - Lebensmittel Oester
CHE-438.593.065,GR - Graubünden,Tujetsch,"Bäckerei - Konditorei Adula, Georg Schmid und Josefin Burri"
CHE-116.198.463,BE - Bern,Uetendorf,Bäckerei - Konditorei D. Pfister
CHE-313.666.724,BE - Bern,Langnau im Emmental,Bäckerei - Konditorei Eichenberger AG
CHE-421.307.156,SG - St. Gallen,St. Gallen,Bäckerei La Panetteria GmbH
CHE-221.328.826,BE - Bern,Bern,Bäckerei Lanz AG
CHE-112.999.866,SO - Solothurn,Derendingen,Bäckerei Laube AG
CHE-107.228.119,LU - Luzern,Escholzmatt-Marbach,Bäckerei Lötscher AG
CHE-110.623.120,BE - Bern,Burgdorf,Bäckerei M. Leuenberger
CHE-109.269.514,ZH - Zürich,Zürich,Bäckerei Maria del Carmen Nieto GmbH
CHE-107.226.267,BE - Bern,Hilterfingen,Bäckerei Markus Ryser
CHE-112.340.495,SZ - Schwyz,Wollerau,Bäckerei Marty Conditorei GmbH
CHE-102.477.419,BE - Bern,Bern,Bäckerei Meyer GmbH
CHE-114.086.801,BE - Bern,Adelboden,Bäckerei Michel GmbH
CHE-109.987.130,BS - Basel-Stadt,Basel,Bäckerei Konditorei Singaraja Sivaji Philip Manohara
CHE-318.918.809,SO - Solothurn,Biberist,Bäckerei Konditorei Staudenmann GmbH
CHE-303.070.085,ZH - Zürich,Zürich,Bäckerei Konditorei Tanner
CHE-261.654.166,TG - Thurgau,Frauenfeld,Bäckerei Konditorei Teixeira GmbH
