3.07,Udry,Christian,1975,"vice-syndic, inspecteur des finances / Vizeammann, Finanzinspektor",,St. Silvester,6'188,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,4,Mitte Links-CSP,,,,,
Kürzel,,CSP,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,10'993,,,,,
Zusatzstimmen,,,430,,,,,
Parteistimmen,,,11'423,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
4.01,Chassot,Claude,1956,"enseignant spécialisé, député / Sonderschullehrer, Grossrat",,Villarsel-le-Gibloux,2'222,
4.02,Frieden,Diego,1984,secrétaire central Syna - le syndicat / Zentralsekretär Syna - die Gewerkschaft,,Fribourg/Freiburg,1'330,
4.03,Guillez,Basile,1982,travailleur social / Sozialarbeiter,,Fribourg/Freiburg,1'105,
4.04,Heimgärtner,Eva,1957,entrepreneuse indépendante / Selbständige Unternehmerin,,Fribourg/Freiburg,955,
4.05,Mayer Aldana,Danièle,1959,directrice OSEO Fribourg / Geschäftsleiterin SAH Freiburg,,Fribourg/Freiburg,1'160,
4.06,Rey,Benoît,1958,"chef du département Pro Infirmis, député / Departementsleiter Pro Infirmis, Grossrat",,Fribourg/Freiburg,2'382,
4.07,Studer,Vital,1979,enseignant CO de la Gruyère à Bulle / Sekundarlehrer OS Greyerz in Bulle,,Villars-sur-Glâne,1'839,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,5,Schweizerische Volkspartei (SVP),,,,,
Kürzel,,SVP,,,,,,
Sitze,,2,,,,,,
Kandidatenstimmen,,,143'783,,,,,
Zusatzstimmen,,,10'633,,,,,
Parteistimmen,,,154'416,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
5.01,Rime,Jean-François,1950,"industriel, conseiller national / Unternehmer, Nationalrat",,Bulle,29'203,x
5.02,Chardonnens,Jean-Daniel,1965,"directeur, administrateur / Direktor, Verwalter",,Fétigny,17'792,
5.03,Mesot,Roland,1962,"chef d'entreprise, député / Unternehmensleiter, Grossrat",,Châtel-Saint-Denis,18'466,
5.04,Page,Pierre-André,1960,"maître agriculteur, député / Landwirt EFZ, Grossrat",,Châtonnaye,20'879,
5.05,Schläfli,Ruedi,1974,"agriculteur, député / Landwirt, Grossrat",,Posieux,18'319,
5.06,Thalmann-Bolz,Katharina,1957,"enseignante primaire, députée / Primarlehrerin, Grossrätin",,Murten/Morat,19'170,
5.07,Waeber,Emanuel,1958,"économiste d'entreprise, député / Betriebsökonom, Grossrat",,St. Antoni,19'954,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,6,Grünliberale Partei (glp),,,,,
Kürzel,,glp,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,15'863,,,,,
Zusatzstimmen,,,530,,,,,
Parteistimmen,,,16'393,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
6.01,Schmid,Ralph,1959,"directeur de clinique, professeur, député / Klinikdirektor, Professor, Grossrat",,Lugnorre,5'561,
6.03,Etter,Fabienne,1974,"employée de commerce, master en gestion de formation / Kaufmännische Angestellte, MAS in Ausbildungsmanagement",,Fribourg/Freiburg,2'982,
6.04,Reck,Markus,1962,économiste / Ökonom,,Fribourg/Freiburg,1'821,
6.05,Bernhard,Irene,1978,juriste en droit des constructions / Baujuristin,,Villars-sur-Glâne,1'981,
6.06,Wismer,Daniel,1965,informaticien / Informatiker,,Fribourg/Freiburg,1'937,
6.07,Späth,Bertrand,1983,économiste / Ökonom,,Marly,1'581,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,7,Grüne,,,,,
Kürzel,,Grüne,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,25'153,,,,,
Zusatzstimmen,,,756,,,,,
Parteistimmen,,,25'909,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
7.01,Bardet-Leuenberger,Nicole,1980,"économiste HEC, administratrice, conseillère générale / Ökonomin, Verwalterin, Generalrätin",,Romont,4'263,
7.02,Andrey,Gerhard,1976,"entrepreneur, ingénieur, membre du comité des Verts suisses / Unternehmer, Ingenieur, Vorstandsmitglied Grüne Schweiz",,Granges-Paccot,4'712,
7.03,Messer,Marc-Antoine,1983,"urbaniste, doctorant EPFL, conseiller d’agglomération / Raumplaner, Doktorand ETH, Agglorat",,Corjolens,3'096,
7.04,Bonvin-Sansonnens,Sylvie,1971,"maître agricultrice, députée / Meisterlandwirtin, Grossrätin",,Rueyres-les-Prés,4'428,
7.05,Pasquier,Nicolas,1978,"maître professionnel, dr ès sc. nat. / Fachlehrer Berufsschule, Dr. rer. nat.",,Bulle,3'098,
7.06,Thévoz,Laurent,1948,"géographe, député / Geograf, Grossrat",,Fribourg/Freiburg,3'270,
7.07,Halbherr-Zehnder,Silvia,1955,enseignante / Lehrerin,,Muntelier,2'286,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,8,Jungfreisinnige Freiburg,,,,,
Kürzel,,JF,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,5'148,,,,,
Zusatzstimmen,,,210,,,,,
Parteistimmen,,,5'358,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
8.01,Bieri,Felix,1993,étudiant HEC / HSG-Student,,Schmitten,616,
8.02,Gigandet,Yannick,1993,étudiant HEC / HSG-Student,,Bulle,536,
8.03,Huber,Rebecca,1994,étudiante en droit / Jurastudentin,,Düdingen,699,
